,date,tweet,hashtags
0,2020-03-25 23:59:48,@AUThackeray Sir thank you so much for All your Care But some of us are still not following order of the time . My neighbours are treating this lockdown as vacation . There relatives staying in nearby areas are frequent visitors and till late night they have gala time .,[]
1,2020-03-25 23:59:37,"Indian Govt has not allowed cheap Elisa and rapid test n choosen expensive PCR. Private capped at 4500, not many can afford. 
Strategy, less testing, less cases, Govt looks good. Control thru lockdown. 
But without testing it will not end n may reoccur after lockdown.",[]
2,2020-03-25 23:59:31,@narendramodi During the lockdown under privilege people will get the wages from corporates under CSR funds will encourage the corporate to become #Coronafighters,['#coronafighters']
3,2020-03-25 23:58:08,Too early to gauge the impact of lockdown but the real picture will emerge in the next 4/5 days !! Praying the curve flattens and we can contain it in stage 2 ..,[]
4,2020-03-25 23:57:54,"Lockdown Day 2:

Lays k bary packet me 31 chips hoti hn.. 6 bary waly + 20 normal + 5 tukry or baki choora pooraa 🤣🤣
#21daylockdown
#QuarantineLife #StayHome #StopTheSpreadOfCorona","['#21daylockdown', '#quarantinelife', '#stayhome', '#stopthespreadofcorona']"
5,2020-03-25 23:57:46,"Thanks for response.They hav NFSA rice, social security pension. Since they are not going to work due to lockdown and March is ending there is shortage of food and essentials. So request was and is to provide them additional food & in advance as per decision by our @CMO_Odisha",[]
6,2020-03-25 23:57:10,Stay Safe bro! Entire India is under lockdown.,[]
7,2020-03-25 23:57:05,"When NDTV talks about the fate of million of the workers while discussing lockdown actually is not worried about them, what NDTV worries is if Modi continue to do good work like this, their favourites will not come back to power for at least next million years !!",[]
8,2020-03-25 23:55:59,"@CMOMaharashtra @DGPMaharashtra @CPPuneCity dear sir, in this situation of  lockdown what are the guidelines to the landlords who’s  Tenants have they rent agreement ending on 31st March?? Can we have an official extend of 2months on the current rent agreement?",[]
9,2020-03-25 23:55:57,Our home is behind Delhi Airport and today we didn’t hear a single aeroplane fly over. So total lockdown land water and air is complete now.,[]
10,2020-03-25 23:55:23,They have to follow lockdown,[]
11,2020-03-25 23:54:55,"Finally, lockdown gave me the time to finish my backlog, I’m sleeping, eating and drinking 🍻, Enjoying full on. I don’t know if I’m gonna get such free time any soon. 😂😂
#lockdown",['#lockdown']
