,date,tweet,hashtags
0,2020-05-04 23:59:25,So what about my membership.... will it be extended for this Lockdown days,[]
1,2020-05-04 23:59:24,Sir please lockdown tightly otherwise big problem in this city  https://twitter.com/dmgonda2/status/1257363780499103746 …,[]
2,2020-05-04 23:58:37,"Film- Lockdown Mein Pyaasi Janta

Opening day-
Net All over India collection 1000cr aprox. 

#liquor #LiquorShops pic.twitter.com/elQwdbMNvm","['#liquor', '#liquorshops']"
3,2020-05-04 23:58:13,@charlieputh watch a Bollywood movie in this lockdown!!! 😌🔥,[]
4,2020-05-04 23:58:10,"And Hon. PM sir @PMOIndia @narendramodi, will Central gov ask for the future pros and cons of it, as we all know many organisations and NGOs are worried about domestic violence and divorce cases after the lockdown.
I think we have to keep that thing in our mind as well.
#JaiHind",['#jaihind']
5,2020-05-04 23:57:55,"#Airtel the worst #fucking network of all time. #assholes why you take money when you can't provide services. #boycottairtel #airtelxstream #Airtel @nammacitizen 
Literally 1st thing I'll do after lockdown is leave this #shit network and ask everyone to leave and migrate to #Jio","['#airtel', '#fucking', '#assholes', '#boycottairtel', '#airtelxstream', '#airtel', '#shit', '#jio']"
6,2020-05-04 23:57:45,Waiting for to lift the lockdown. Don't disturb  pic.twitter.com/sRaBalomKX,[]
7,2020-05-04 23:57:28,"By making it a criminal offence to cut salaries during #lockdown, without requiring banks to give small personal loans under 1 lakh, the government is guaranteeing mass layoff or retrenchment after lockdown or employers going bankrupt.
@AmitShah 
You saw it here first.
@PMOIndia",['#lockdown']
8,2020-05-04 23:57:27,"U shaped recovery was possible only if rental incomes were not halted and employers could cut salaries during lockdown.
V shape was possible only if banks agreed to lend to 
Migrant workers,
Daily wagers,
Domestic staff,
Frontline service providers.
@nsitharaman https://twitter.com/ai4mba/status/1257373132098240514 …",[]
9,2020-05-04 23:57:06,"Another absorbing online session from Home about Issues of “Lockdown and Police Response” on B World TV from 9:30 to 10:15 PM a while ago.
#lockdownpakistan
#COVIDー19
#FrontLineHeroes https://www.facebook.com/bworldtv/videos/533175190644747/ …","['#lockdownpakistan', '#covidー19', '#frontlineheroes']"
10,2020-05-04 23:56:29,@PMOIndia @FinMinIndia pls do something and announce  a longer morotorium without steep interest for middle class as most small organization are going no salary for lockdown period due to no income else situation will be bad for middle class,[]
11,2020-05-04 23:56:17,"@narendramodi Sir, I have many problem     
regarding to school fee and homework.
My parents are not able to pay fee during
lockdown and they are giving lots of homework to do. Plz take some serious action for that.
Aarav pratap singh 9 years,
Kota,Rajasthan",[]
12,2020-05-04 23:55:36,Thank God mere yaha normal chal raha hai..in lockdown specially,[]
13,2020-05-04 23:54:09,"Make sure you turn on your car atleast once a week during lockdown. 
.
.
.
.
#sunsets @ Vasai  https://www.instagram.com/p/B_xqBvxjwA_tW7fQ73VQ_o1dpZOcULI0xbx_1Q0/?igshid=1f2n270afs5yx …",['#sunsets']
14,2020-05-04 23:53:53,"""Lockdown 3.0- Here's A List Of What Is Permitted And What Is Not""   https://twitter.com/i/events/1257210748662620160 …",[]
15,2020-05-04 23:53:43,@KTR sir ask kcr sir said der shuld b no increase in fee of educational institutions and now entry of pg medical courses has sudenly increased fee from 3.5laks to 7.5 lacs making it non afordable for midle cls ppl how can we pay such huge in dis lockdown kindly look into dis sir,[]
16,2020-05-04 23:53:30,".@aimim_national Ramnasthpura Corporator Mohd Mubeen distributed Ration Kits among the people who have been affected due to #lockdown in Al Jubail Colony, Falaknuma. @asadowaisi pic.twitter.com/AI4a5xePJ0",['#lockdown']
17,2020-05-04 23:52:38,"Make the most of Lockdown 3.0!
Meet the Moderators for the #AINETconnect #TweetChat- @toss_if @WittyAmit on topic Teaching-Learning in the Lockdown Period

This Wednesday, 6th May 2020
8PM to 9PM IST.
Be there!

Follow @ainetindia for quick alerts!

#ainetconnect #ATRI3 #ELTIndia pic.twitter.com/KahMR789yw","['#ainetconnect', '#tweetchat', '#ainetconnect', '#atri3', '#eltindia']"
18,2020-05-04 23:52:32,When School opens after lockdown  !!  pic.twitter.com/E7meG7xjdy,[]
19,2020-05-04 23:52:24,"The Prophecy that has led to the Shut down of India 1.4 Billion people under lockdown! 

 https://www.youtube.com/watch?v=CzKMzZopRhk&t=8s …
#PreparationOfTheChurch
@Repent_India @Repentindia_N",['#preparationofthechurch']
20,2020-05-04 23:51:57,"Pakistani are confused about queuing of Indian people after 40 days lockdown ..... ! 

@iVeenaKhan @kirannazsamaa pic.twitter.com/b0ipHdOai2",[]
21,2020-05-04 23:51:41,Is gujranwala going towards a curfew/ strict lockdown in the coming days because of increasing cases dc sb?,[]
